_id,Source,Source_ID,Location,Artist,Title,Medium,ArtForm,Status,ImageName,ImageURL,ThumbURL,ImageAltText,WARD,WARD_FULLNAME,YEAR_INSTALLED,Description,OwnedBy,CommissionedBy,PublicArtConsultant,ImageOrientation,ExternalLink,ExternalLinkText,geometry
1,Public Art & Monuments Collection - City-Owned,596,Danforth Avenue and Logan Avenue,"Zachariou, Dion",Alexander the Great,bronze,Sculpture,Existing,alexanderthegreat.jpg,https://www.toronto.ca/ext/pln/publicart/alexanderthegreat.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/alexanderthegreat.jpg,None,14,Toronto-Danforth,1990,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.349666, 43.677967]]}"
2,Public Art & Monuments Collection - City-Owned,566,Church Street and Alexander Street,"Newbigging, Del",Alexander Wood,"bronze, granite",Sculpture,Existing,alexanderwood.jpg,https://www.toronto.ca/ext/pln/publicart/alexanderwood.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/alexanderwood.jpg,None,13,Toronto Centre,2005,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.380097, 43.663678]]}"
3,Public Art & Monuments Collection - City-Owned,534,various locations,"Eunson, Scott / Lovink, Marianne",Bike Plants,weathering Corten steel,Functional Art,Existing,bikeplants.jpg,https://www.toronto.ca/ext/pln/publicart/bikeplants.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/bikeplants.jpg,None,11,University-Rosedale,2011,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.3652211, 43.6836427]]}"
4,Public Art & Monuments Collection - City-Owned,581,Spadina Ave and Bloor Street,"Schelle, Susan / Gomes, Mark",Bloor Parkette,"sandstone, limestone, stainless steel",Functional Art,Existing,bloorparkette1.jpg,https://www.toronto.ca/ext/pln/publicart/bloorparkette1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/bloorparkette1.jpg,None,11,University-Rosedale,1997,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.403884, 43.666635]]}"
5,Public Art & Monuments Collection - City-Owned,575,"Carlaw Avenue, and Gerrard Street","Revington, Dereck",Blue Fire,aluminum,Light Installation,Existing,bluefire.jpg,https://www.toronto.ca/ext/pln/publicart/bluefire.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/bluefire.jpg,None,14,Toronto-Danforth,1997,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.342756, 43.667619]]}"
6,Public Art & Monuments Collection - City-Owned,502,"York Mills Road and Yonge Street, York Mills Park","Alison, Adrienne",C.W. Jeffereys Memorial,"bronze, granite",Sculpture,Existing,jeffereys.jpg,https://www.toronto.ca/ext/pln/publicart/jeffereys.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/jeffereys.jpg,None,8,Eglinton-Lawrence,2001,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.406628, 43.744097]]}"
7,Public Art & Monuments Collection - City-Owned,653,University Avenue and Dundas Street,"Nemon, Oscar",Canadian Airman's Memorial,"bronze, masonry",Sculpture,Existing,airmen1.jpg,https://www.toronto.ca/ext/pln/publicart/airmen1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/airmen1.jpg,None,10,Spadina-Fort York,1984,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.388361, 43.654917]]}"
8,Public Art & Monuments Collection - City-Owned,590,Gerrard Street East and Broadview Avenue,Unknown,Chinese Lions,marble,Sculpture,Existing,chineselions.jpg,https://www.toronto.ca/ext/pln/publicart/chineselions.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/chineselions.jpg,None,14,Toronto-Danforth,2004,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.352607, 43.665479]]}"
9,Public Art & Monuments Collection - City-Owned,559,"Lake Shore Boulevard East and Coxwell Avenue, Woodbine Park","McGugan, Laurie",Circle of Trees,"bronze, botanical (living Maple trees, landscaping materials)",Landscape Feature,Existing,circleoftrees2.jpg,https://www.toronto.ca/ext/pln/publicart/circleoftrees2.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/circleoftrees2.jpg,None,19,Beaches - East York,2000,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.315002, 43.664961]]}"
10,Public Art & Monuments Collection - City-Owned,593,Scarborough Civic Centre,"Yagi, Yoshio",Cloud Sensor,masonry,Sculpture,Existing,cloudsensor.jpg,https://www.toronto.ca/ext/pln/publicart/cloudsensor.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/cloudsensor.jpg,None,21,Scarborough Centre,1994,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.2586, 43.7709]]}"
11,Public Art & Monuments Collection - City-Owned,585,Yonge Street (at Mel Lastman Square) Empress Avenue and Norton Avenue,"Sprachman, Robert",The Dance,painted steel,Sculpture,Existing,thedance.jpg,https://www.toronto.ca/ext/pln/publicart/thedance.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/thedance.jpg,None,18,Willowdale,1998,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.41253781, 43.76785066]]}"
12,Public Art & Monuments Collection - City-Owned,546,Dawes Road and Victoria Park Avenue,"Harding, Noel",Dawes Crossing,"wood, mixed metal, glass, landscaping",Infrastructure,Existing,dawescrossing.jpg,https://www.toronto.ca/ext/pln/publicart/dawescrossing.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/dawescrossing.jpg,None,20,Scarborough Southwest,2012,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.295098, 43.706783]]}"
13,Public Art & Monuments Collection - City-Owned,642,Dupont Subway Station,"Baird, Ron",Doors,painted steel,Architectural Element,Existing,doors.jpg,https://www.toronto.ca/ext/pln/publicart/doors.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/doors.jpg,None,11,University-Rosedale,1978,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.406802, 43.674796]]}"
14,Public Art & Monuments Collection - City-Owned,654,Riverdale Park East,"Rosenthal, Joseph",Dr. Sun Yat-Sen,"bronze, masonry",Sculpture,Existing,drsunyatsen.jpg,https://www.toronto.ca/ext/pln/publicart/drsunyatsen.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/drsunyatsen.jpg,None,14,Toronto-Danforth,1984,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.353442, 43.667802]]}"
15,Public Art & Monuments Collection - City-Owned,647,Little Norway Park,"Maloff and Ne Chi Zu Works, Georganna",Dreamwork of the Whales,wood,Sculpture,Existing,dreamworkofwhales.jpg,https://www.toronto.ca/ext/pln/publicart/dreamworkofwhales.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/dreamworkofwhales.jpg,None,10,Spadina-Fort York,1980,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.398786, 43.635218]]}"
16,Public Art & Monuments Collection - City-Owned,555,Scarborough Civic Centre,"Roller, Peter",Earth and Sky,granite,Sculpture,Existing,earthandsky.jpg,https://www.toronto.ca/ext/pln/publicart/earthandsky.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/earthandsky.jpg,None,21,Scarborough Centre,1994,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.2583, 43.7722]]}"
17,Public Art & Monuments Collection - City-Owned,693,"Queens Park, Queen's Park Crescent East",Sir Thomas Brock,Edward VII,Bronze,Sculpture,Existing,edwardvii.jpg,https://www.toronto.ca/ext/pln/publicart/edwardvii.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/edwardvii.jpg,None,11,University-Rosedale,1969,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.392446, 43.664455]]}"
18,Public Art & Monuments Collection - City-Owned,545,"Don Mills Road, Taylor Creek Park","Harding, Noel",Elevated Wetlands,mixed material,Sculpture,Existing,elevated.jpg,https://www.toronto.ca/ext/pln/publicart/elevated.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/elevated.jpg,None,14,Toronto-Danforth,1995,"Elevated Wetlands is a solar-powered, functional sculpture by Toronto artist Noel Harding, which  uses wetland plants and plastic waste to absorb volatile chemicals and filter metal contaminants from the Don River.",None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.333627, 43.702921]]}"
19,Public Art & Monuments Collection - City-Owned,573,34 Parkview Avenue,Randy / Berenicci,Empress Collonettes,copper plate,Architectural Element,Existing,empresscolonettes.jpg,https://www.toronto.ca/ext/pln/publicart/empresscolonettes.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/empresscolonettes.jpg,None,18,Willowdale,1998,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.411229, 43.771493]]}"
20,Public Art & Monuments Collection - City-Owned,527,"Bloor Street West and Christie Street, Christie Pits Park","Doyle, Maura",Erratic Bolder,granite,Sculpture,Existing,erraticboulder.jpg,https://www.toronto.ca/ext/pln/publicart/erraticboulder.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/erraticboulder.jpg,None,11,University-Rosedale,2004,None,None,None,None,landscape,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.420972, 43.66389]]}"
21,Public Art & Monuments Collection - City-Owned,528,Scarborough Civic Centre,"Karlovs, Janis",Eruption,granite,Sculpture,Existing,eruption.jpg,https://www.toronto.ca/ext/pln/publicart/eruption.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/eruption.jpg,None,21,Scarborough Centre,1994,None,None,None,None,portrait,None,None,"{'type': 'MultiPoint', 'coordinates': [[-79.2568, 43.7737]]}"
