_id,WARD,WARD_FULLNAME
1,14,Toronto-Danforth
2,13,Toronto Centre
3,11,University-Rosedale
4,11,University-Rosedale
5,14,Toronto-Danforth
6,8,Eglinton-Lawrence
7,10,Spadina-Fort York
8,14,Toronto-Danforth
9,19,Beaches - East York
10,21,Scarborough Centre
11,18,Willowdale
12,20,Scarborough Southwest
13,11,University-Rosedale
14,14,Toronto-Danforth
15,10,Spadina-Fort York
16,21,Scarborough Centre
17,11,University-Rosedale
18,14,Toronto-Danforth
19,18,Willowdale
20,11,University-Rosedale
21,21,Scarborough Centre
22,10,Spadina-Fort York
23,10,Spadina-Fort York
24,21,Scarborough Centre
25,10,Spadina-Fort York
26,13,Toronto Centre
27,8,Eglinton-Lawrence
28,11,University-Rosedale
29,5,York South-Weston
30,10,Spadina-Fort York
31,19,Beaches - East York
32,10,Spadina-Fort York
33,18,Willowdale
34,11,University-Rosedale
35,13,Toronto Centre
36,14,Toronto-Danforth
37,12,Toronto-St. Paul's
38,21,Scarborough Centre
39,11,University-Rosedale
40,6,York Centre
41,4,Parkdale-High Park
42,13,Toronto Centre
43,10,Spadina-Fort York
44,4,Parkdale-High Park
45,10,Spadina-Fort York
46,10,Spadina-Fort York
47,10,Spadina-Fort York
48,11,University-Rosedale
49,6,York Centre
50,4,Parkdale-High Park
51,17,Don Valley North
52,5,York South-Weston
53,3,Etobicoke-Lakeshore
54,10,Spadina-Fort York
55,10,Spadina-Fort York
56,4,Parkdale-High Park
57,3,Etobicoke-Lakeshore
58,11,University-Rosedale
59,11,University-Rosedale
60,11,University-Rosedale
61,13,Toronto Centre
62,21,Scarborough Centre
63,15,Don Valley West
64,21,Scarborough Centre
65,20,Scarborough Southwest
66,4,Parkdale-High Park
67,21,Scarborough Centre
68,6,York Centre
69,11,University-Rosedale
70,24,Scarborough-Guildwood
71,13,Toronto Centre
72,13,Toronto Centre
73,10,Spadina-Fort York
74,10,Spadina-Fort York
75,4,Parkdale-High Park
76,13,Toronto Centre
77,10,Spadina-Fort York
78,11,University-Rosedale
79,4,Parkdale-High Park
80,21,Scarborough Centre
81,14,Toronto-Danforth
82,10,Spadina-Fort York
83,3,Etobicoke-Lakeshore
84,3,Etobicoke-Lakeshore
85,3,Etobicoke-Lakeshore
86,10,Spadina-Fort York
87,14,Toronto-Danforth
88,5,York South-Weston
89,18,Willowdale
90,11,University-Rosedale
91,11,University-Rosedale
92,12,Toronto-St. Paul's
93,21,Scarborough Centre
94,10,Spadina-Fort York
95,3,Etobicoke-Lakeshore
96,11,University-Rosedale
97,10,Spadina-Fort York
98,10,Spadina-Fort York
99,13,Toronto Centre
100,11,University-Rosedale
101,18,Willowdale
102,18,Willowdale
103,12,Toronto-St. Paul's
104,25,Scarborough-Rouge Park
105,10,Spadina-Fort York
106,13,Toronto Centre
107,10,Spadina-Fort York
108,13,Toronto Centre
109,10,Spadina-Fort York
110,10,Spadina-Fort York
111,10,Spadina-Fort York
112,11,University-Rosedale
113,10,Spadina-Fort York
114,10,Spadina-Fort York
115,10,Spadina-Fort York
116,18,Willowdale
117,11,University-Rosedale
118,10,Spadina-Fort York
119,10,Spadina-Fort York
120,13,Toronto Centre
121,10,Spadina-Fort York
122,12,Toronto-St. Paul's
123,10,Spadina-Fort York
124,13,Toronto Centre
125,10,Spadina-Fort York
126,3,Etobicoke-Lakeshore
127,10,Spadina-Fort York
128,8,Eglinton-Lawrence
129,10,Spadina-Fort York
130,17,Don Valley North
131,16,Don Valley East
132,10,Spadina-Fort York
133,10,Spadina-Fort York
134,13,Toronto Centre
135,17,Don Valley North
136,10,Spadina-Fort York
137,17,Don Valley North
138,10,Spadina-Fort York
139,10,Spadina-Fort York
140,13,Toronto Centre
141,18,Willowdale
142,10,Spadina-Fort York
143,10,Spadina-Fort York
144,13,Toronto Centre
145,10,Spadina-Fort York
146,13,Toronto Centre
147,10,Spadina-Fort York
148,11,University-Rosedale
149,17,Don Valley North
150,13,Toronto Centre
151,10,Spadina-Fort York
152,10,Spadina-Fort York
153,10,Spadina-Fort York
154,10,Spadina-Fort York
155,13,Toronto Centre
156,13,Toronto Centre
157,10,Spadina-Fort York
158,10,Spadina-Fort York
159,18,Willowdale
160,11,University-Rosedale
161,10,Spadina-Fort York
162,23,Scarborough North
163,10,Spadina-Fort York
164,18,Willowdale
165,10,Spadina-Fort York
166,10,Spadina-Fort York
167,10,Spadina-Fort York
168,13,Toronto Centre
169,10,Spadina-Fort York
170,11,University-Rosedale
171,17,Don Valley North
172,10,Spadina-Fort York
173,10,Spadina-Fort York
174,10,Spadina-Fort York
175,13,Toronto Centre
176,11,University-Rosedale
177,10,Spadina-Fort York
178,10,Spadina-Fort York
179,3,Etobicoke-Lakeshore
180,18,Willowdale
181,18,Willowdale
182,10,Spadina-Fort York
183,10,Spadina-Fort York
184,10,Spadina-Fort York
185,10,Spadina-Fort York
186,10,Spadina-Fort York
187,4,Parkdale-High Park
188,12,Toronto-St. Paul's
189,4,Parkdale-High Park
190,10,Spadina-Fort York
191,10,Spadina-Fort York
192,10,Spadina-Fort York
193,17,Don Valley North
194,17,Don Valley North
195,17,Don Valley North
196,17,Don Valley North
197,17,Don Valley North
198,17,Don Valley North
199,10,Spadina-Fort York
200,10,Spadina-Fort York
201,12,Toronto-St. Paul's
202,10,Spadina-Fort York
203,10,Spadina-Fort York
204,13,Toronto Centre
