WARD,population,minority_population,income
1,115120,90130,95200
2,117200,37210,146600
3,139920,48675,127200
4,104715,30445,127200
5,115675,67120,88700
6,107355,56405,107500
7,111200,86975,85700
8,114820,42265,176400
9,104730,35215,107300
10,135400,70400,118200
11,102385,38445,174800
12,114095,39925,160400
13,116930,67145,89400
14,104555,35815,130800
15,101025,47415,224800
16,94335,59525,100300
17,112590,83870,103800
18,117130,83210,106300
19,108500,39225,130600
20,110095,67555,102200
21,111560,83025,91500
22,103690,85350,93000
23,94025,86675,100000
24,102755,78525,92700
25,101485,76755,121800
